,id,Full_text,tags,predictions,False Positive,True Positive,False Negative,True Negative
0,72857806,"JAXB don&#39;t marshal attribute <p>I have some  generated by jaxb mave plugin like this:</p>
<pre><code>@Type
@RootElement(name = &quot;Foo&quot;, namespace = &quot;urn://some-urn&quot;)
public  Foo {
    @Attribute(name = &quot;id&quot;, required = true)
    protected  id;
    @Attribute(name = &quot;name&quot;, required = true)
    protected BigInteger name;
    @Attribute(name = &quot;age&quot;, required = true)
    protected  age;
</code></pre>
<p>I need to marshal object from this , but JAXB marshaling attributes as an elements.</p>
<p>Required:</p>
<pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;UTF-8&quot; standalone=&quot;yes&quot;?&gt;
&lt;ns2:Foo ns:ns2=&quot;urn://some-urn&quot; id=&quot;1&quot; name=&quot;Boris&quot; age=&quot;43&quot;&gt;
    //some elements in the root element
&lt;/ns2:Foo&gt;
</code></pre>
<p>Provided:</p>
<pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;UTF-8&quot; standalone=&quot;yes&quot;?&gt;
&lt;ns2:Foo ns:ns2=&quot;urn://some-urn&quot;&gt;
    &lt;id&gt;1&lt;/id&gt;
    &lt;name&gt;Boris&lt;/name&gt;
    &lt;age&gt;43&lt;/age&gt;
&lt;/ns2:Foo&gt;
</code></pre>
<p>Marshalling method:</p>
<pre><code>public  marshalTo(Foo foo) {
        Writer Writer = new Writer();
        try {
            Marshaller marshaller = JAXBContext.newInstance(Foo.).createMarshaller();
            marshaller.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, Boolean.TRUE);
            QName qName = new QName(&quot;urn://some-urn&quot;,
                    &quot;Foo&quot;);
            JAXBElement&lt;Foo&gt; bar = new JAXBElement&lt;&gt;(qName, Foo., foo);
            marshaller.marshal(bar, Writer);
            return Writer.to();
        } catch (JAXB e) {
            log.error(e.getMessage(), e);
        }
        return null;
    }
</code></pre>
  ",['xml'],['xml'],0,1,0,48
1,75516396,"Email address inside &lt;&gt;tag is taken as  tag and unable to display in UI? How to fix this? <p>I want to display the email address inside '&lt;test@gmail.com'&gt;' tag in UI, how can I achieve this? How to display email address with tag in UI?</p>
<pre><code>&lt;&gt;
&lt;head&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;br&gt; I'm sorry to have to inform you that your message could not
    &lt;br&gt; be delivered to one or more recipients. It's attached below.
    &lt;br&gt; &lt;test@gmail.com&gt;: host mx.gmail.com[136.143.191.44] said: 550 5.1.1
    &lt;br&gt;     &lt;test@gmail.com&gt; User unknown (in reply to RCPT TO command)
    &lt;br&gt; Reporting-MTA: dns; smtp5.to.test.com
    &lt;br&gt; X-Postfix-Queue-ID: E982A3346F
    &lt;br&gt; X-Postfix-Sender: rfc822; test1@test.in
    &lt;br&gt; Arrival-Date: Mon, 20 Feb 2023 17:37:11 +0530 (IST)
    &lt;br&gt; Final-Recipient: rfc822; test@gmail.com
    &lt;br&gt; Original-Recipient: rfc822;test@gmail.com
    &lt;br&gt; Remote-MTA: dns; mx.zoho.com
    &lt;br&gt; Diagnostic-Code: smtp; 550 5.1.1 &lt;test@gmail.com&gt; User unknown
&lt;/body&gt;
&lt;/&gt;
</code></pre>
<p><strong>It is display as in below image, not displaying email address with tag</strong></p>
<p><a href=""https://i.sstatic.net/G4AxA.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/G4AxA.png"" alt=""enter image description here"" /></a></p>
 <p>declare this variable</p>
<pre><code>  adress: ='&lt;test@gmai.com&gt;'
</code></pre>
<p>then bind it on your   :</p>
<pre><code>&lt;br&gt; {{adress}}
</code></pre>
<p>it works for me</p>
","['html', 'spring-boot']","['html', 'spring-boot']",0,2,0,47
2,75516396,"Email address inside &lt;&gt;tag is taken as  tag and unable to display in UI? How to fix this? <p>I want to display the email address inside '&lt;test@gmail.com'&gt;' tag in UI, how can I achieve this? How to display email address with tag in UI?</p>
<pre><code>&lt;&gt;
&lt;head&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;br&gt; I'm sorry to have to inform you that your message could not
    &lt;br&gt; be delivered to one or more recipients. It's attached below.
    &lt;br&gt; &lt;test@gmail.com&gt;: host mx.gmail.com[136.143.191.44] said: 550 5.1.1
    &lt;br&gt;     &lt;test@gmail.com&gt; User unknown (in reply to RCPT TO command)
    &lt;br&gt; Reporting-MTA: dns; smtp5.to.test.com
    &lt;br&gt; X-Postfix-Queue-ID: E982A3346F
    &lt;br&gt; X-Postfix-Sender: rfc822; test1@test.in
    &lt;br&gt; Arrival-Date: Mon, 20 Feb 2023 17:37:11 +0530 (IST)
    &lt;br&gt; Final-Recipient: rfc822; test@gmail.com
    &lt;br&gt; Original-Recipient: rfc822;test@gmail.com
    &lt;br&gt; Remote-MTA: dns; mx.zoho.com
    &lt;br&gt; Diagnostic-Code: smtp; 550 5.1.1 &lt;test@gmail.com&gt; User unknown
&lt;/body&gt;
&lt;/&gt;
</code></pre>
<p><strong>It is display as in below image, not displaying email address with tag</strong></p>
<p><a href=""https://i.sstatic.net/G4AxA.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/G4AxA.png"" alt=""enter image description here"" /></a></p>
 <p>declare this variable</p>
<pre><code>  adress: ='&lt;test@gmai.com&gt;'
</code></pre>
<p>then bind it on your   :</p>
<pre><code>&lt;br&gt; {{adress}}
</code></pre>
<p>it works for me</p>
","['html', 'spring-boot']","['html', 'spring-boot']",0,2,0,47
3,8400301,"&lt;c:out/&gt; unknown tag <p>Why I get error tip message in  on left when I include the following line.</p>

<pre><code>&lt;c:out value=${variable}/&gt;
</code></pre>

<p>I get the error ""Unknown tag(c:out)""</p>

<p>I also included on top</p>

<pre><code>&lt;%@ page isELIgnored =""false"" %&gt; 
</code></pre>

<p>Is there a jstl I need to include?</p>
 <p>If ur using  dependency see wether the jstl 1.2 dependency is added properly then.
<code>&lt;%@taglib uri=&quot;http://java.sun.com//jstl/core&quot; prefix=&quot;c&quot; %&gt;</code>   use this tag in ur  page.
And also if its geving url error then just rewrite the url and save it.
And also change the version of java to 8 and change the  boot version to 2.7.17</p>
","['eclipse', 'jsp']","['eclipse', 'jsp']",0,2,0,47
4,76858009,"How to show this tags on intellij idea community <p>Could someone tell me how to show this tags on intellij idea community (in this picture: name, email, dob,...). Thank you so much!
<a href=""https://i.sstatic.net/DpCKe.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
<p>(Ignored this sentence)
Maybe this feature have settings, but i dont know it name, or where it place... so confused.</p>
 <p>You can enable/disable hint under the 'Editor - Inlay Hints'.</p>
<p><a href=""https://i.sstatic.net/ZEkFh.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/ZEkFh.png"" alt=""enter image description here"" /></a></p>
",['intellij-idea'],['intellij-idea'],0,1,0,48
5,76537415,"Tags in Cucumber - Multiple Tags <p>In Cucumber Feature  I have a Scenario called Scenario_2 with the tag: @tag1 @tag2 @tag3.
In the Runner  I use tags = &quot;@tag2 and @tag3&quot;.
Actually there is not matching tags in the Feature  but it prints all the lines in the Scenario_2`
How it is possible?.</p>
<pre><code>@tag1 @tag2 @tag3   
Scenario: Scenario_2
Given This is the first step in Second Scenario 
When This is the second step in Second Scenario 
Then This is the third step in Second Scenario

@RunWith(Cucumber.)
@CucumberOptions(features = {&quot;src/test/resources/features/cucumbertags_26.feature&quot;}, 
                     glue = {&quot;com.stepdefinitions&quot;}, 
                     tags = &quot;@tag2 and @tag3&quot;,
                     monochrome = true)
public  TestRunner_SamplePage 
{

}

Output:
-------
^This is the first step in Second Scenario$
^This is the second step in Second Scenario$
^This is the third step in Second Scenario$
</code></pre>
  ",['selenium-webdriver'],['selenium-webdriver'],0,1,0,48
6,7568433,"How to get text between two Elements in DOM object? <p>I'm using JSoup to parse this  content:</p>
<pre><code>&lt;div =&quot;submitted&quot;&gt;
    &lt;strong&gt;&lt;a title=&quot;View user pro.&quot; href=&quot;/user/1&quot;&gt;user1&lt;/a&gt;&lt;/strong&gt; 
    on 27/09/2011 - 15:17 
    &lt;span =&quot;via&quot;&gt;&lt;a href=&quot;/goto/002&quot;&gt;www.google.com&lt;/a&gt;&lt;/span&gt;
&lt;/div&gt; 
</code></pre>
<p>Which looks like this in web browser:</p>
<pre><code>user1 on 27/09/2011 - 15:17 www.google.com
</code></pre>
<p>The username and the website can be parsed into variables using this:</p>
<pre><code> user    = content.getElementsBy(&quot;submitted&quot;).first().getElementsByTag(&quot;strong&quot;).first().text(); 
 website = content.getElementsBy(&quot;submitted&quot;).first().getElementsBy(&quot;via&quot;).first().text();
</code></pre>
<p>But I'm unsure of how to get the &quot;on 27/09/2011 -15:17&quot; into a variable, if I use</p>
<pre><code> date = content.getElementsBy(&quot;submitted&quot;).first().text();
</code></pre>
<p>It also contains username and the website???</p>
 <p>Select the element before the text you wish to grab, then get its next sibling <em>node</em> (not element), which is a text node:</p>

<pre><code>Document doc = Jsoup.parse(""&lt;div =\""submitted\""&gt;"" +
  ""  &lt;strong&gt;&lt;a title=\""View user pro.\"" href=\""/user/1\""&gt;user1&lt;/a&gt;&lt;/strong&gt;"" +
  ""  on 27/09/2011 - 15:17 "" +
  ""  &lt;span =\""via\""&gt;&lt;a href=\""/goto/002\""&gt;www.google.com&lt;/a&gt;&lt;/span&gt;"" +
  ""&lt;/div&gt; "");
 str = doc.select(""strong"").first().nextSibling().to().trim();
System.out.println(str);
</code></pre>

<p>You can also ask an element for its child text nodes and index directly (though referencing the nodes by sibling is usually more robust than indexing):</p>

<pre><code>Document doc = Jsoup.parse(
            ""&lt;div =\""submitted\""&gt;"" +
  ""  &lt;strong&gt;&lt;a title=\""View user pro.\"" href=\""/user/1\""&gt;user1&lt;/a&gt;&lt;/strong&gt;"" +
  ""  on 27/09/2011 - 15:17 "" +
  ""  &lt;span =\""via\""&gt;&lt;a href=\""/goto/002\""&gt;www.google.com&lt;/a&gt;&lt;/span&gt;"" +
  ""&lt;/div&gt; "");
 str = doc.select(""div"").first().textNodes().get(1).text().trim();
System.out.println(str);
</code></pre>
",['html'],['html'],0,1,0,48
7,7568433,"How to get text between two Elements in DOM object? <p>I'm using JSoup to parse this  content:</p>
<pre><code>&lt;div =&quot;submitted&quot;&gt;
    &lt;strong&gt;&lt;a title=&quot;View user pro.&quot; href=&quot;/user/1&quot;&gt;user1&lt;/a&gt;&lt;/strong&gt; 
    on 27/09/2011 - 15:17 
    &lt;span =&quot;via&quot;&gt;&lt;a href=&quot;/goto/002&quot;&gt;www.google.com&lt;/a&gt;&lt;/span&gt;
&lt;/div&gt; 
</code></pre>
<p>Which looks like this in web browser:</p>
<pre><code>user1 on 27/09/2011 - 15:17 www.google.com
</code></pre>
<p>The username and the website can be parsed into variables using this:</p>
<pre><code> user    = content.getElementsBy(&quot;submitted&quot;).first().getElementsByTag(&quot;strong&quot;).first().text(); 
 website = content.getElementsBy(&quot;submitted&quot;).first().getElementsBy(&quot;via&quot;).first().text();
</code></pre>
<p>But I'm unsure of how to get the &quot;on 27/09/2011 -15:17&quot; into a variable, if I use</p>
<pre><code> date = content.getElementsBy(&quot;submitted&quot;).first().text();
</code></pre>
<p>It also contains username and the website???</p>
 <p>Select the element before the text you wish to grab, then get its next sibling <em>node</em> (not element), which is a text node:</p>

<pre><code>Document doc = Jsoup.parse(""&lt;div =\""submitted\""&gt;"" +
  ""  &lt;strong&gt;&lt;a title=\""View user pro.\"" href=\""/user/1\""&gt;user1&lt;/a&gt;&lt;/strong&gt;"" +
  ""  on 27/09/2011 - 15:17 "" +
  ""  &lt;span =\""via\""&gt;&lt;a href=\""/goto/002\""&gt;www.google.com&lt;/a&gt;&lt;/span&gt;"" +
  ""&lt;/div&gt; "");
 str = doc.select(""strong"").first().nextSibling().to().trim();
System.out.println(str);
</code></pre>

<p>You can also ask an element for its child text nodes and index directly (though referencing the nodes by sibling is usually more robust than indexing):</p>

<pre><code>Document doc = Jsoup.parse(
            ""&lt;div =\""submitted\""&gt;"" +
  ""  &lt;strong&gt;&lt;a title=\""View user pro.\"" href=\""/user/1\""&gt;user1&lt;/a&gt;&lt;/strong&gt;"" +
  ""  on 27/09/2011 - 15:17 "" +
  ""  &lt;span =\""via\""&gt;&lt;a href=\""/goto/002\""&gt;www.google.com&lt;/a&gt;&lt;/span&gt;"" +
  ""&lt;/div&gt; "");
 str = doc.select(""div"").first().textNodes().get(1).text().trim();
System.out.println(str);
</code></pre>
",['html'],['html'],0,1,0,48
8,76943856,"Java - execution order between  tags and Cucumber hook tags - which ones go first? <p>is there any conjunction between  tags and Cucumber hook tags execution order ?
I have a project with Cucumber feature , step definition  and page object model.
In feature  I want use tag <code>@pageOne</code> and <code>@pageTwo</code></p>
<p>then in Cucumber hook  I have:</p>
<pre><code>public static List&lt;&gt; list;

@Before(@pageOne) 
public void beforeOne (Scenario scenario) {
list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
}

 @Before(@pageTwo) 
    public void beforeOne (Scenario scenario) {
    list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
    }
</code></pre>
<p>Then in other  I have @Before  annotation.</p>
<pre><code>@Before
public void setUpProperties() {
Properties properties = new Properties();
properties.load(new InputStream(appConfigPath));

if (list.contains(@pageOne)) {
 url = properties.getProperty(&quot;pageOne&quot;);
}

if (list.contains(@pageTwo)) {
 url = properties.getProperty(&quot;pageTwo&quot;);
}
</code></pre>
<p>So I have to run @Before cucumber tag earlier than  @before tag because I have to pass ivalue from cucumber before method to  before method.</p>
<p>Is this possible to set annotation tags order ? I want to run cuumber tag earlier than  tag.</p>
<p>Thank you</p>
  ",['junit'],['junit'],0,1,0,48
9,8400301,"&lt;c:out/&gt; unknown tag <p>Why I get error tip message in  on left when I include the following line.</p>

<pre><code>&lt;c:out value=${variable}/&gt;
</code></pre>

<p>I get the error ""Unknown tag(c:out)""</p>

<p>I also included on top</p>

<pre><code>&lt;%@ page isELIgnored =""false"" %&gt; 
</code></pre>

<p>Is there a jstl I need to include?</p>
 <p>If ur using  dependency see wether the jstl 1.2 dependency is added properly then.
<code>&lt;%@taglib uri=&quot;http://java.sun.com//jstl/core&quot; prefix=&quot;c&quot; %&gt;</code>   use this tag in ur  page.
And also if its geving url error then just rewrite the url and save it.
And also change the version of java to 8 and change the  boot version to 2.7.17</p>
","['eclipse', 'jsp']","['eclipse', 'jsp']",0,2,0,47
