,id,link,title,body,answers,tags,Full_text
404,76858009,https://stackoverflow.com/questions/76858009,How to show this tags on intellij idea community,"<p>Could someone tell me how to show this tags on intellij idea community (in this picture: name, email, dob,...). Thank you so much!
<a href=""https://i.sstatic.net/DpCKe.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
<p>(Ignored this sentence)
Maybe this feature have settings, but i dont know it name, or where it place... so confused.</p>
","<p>You can enable/disable hint under the 'Editor - Inlay Hints'.</p>
<p><a href=""https://i.sstatic.net/ZEkFh.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/ZEkFh.png"" alt=""enter image description here"" /></a></p>
",['intellij-idea'],"How to show this tags on intellij idea community <p>Could someone tell me how to show this tags on intellij idea community (in this picture: name, email, dob,...). Thank you so much!
<a href=""https://i.sstatic.net/DpCKe.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
<p>(Ignored this sentence)
Maybe this feature have settings, but i dont know it name, or where it place... so confused.</p>
 <p>You can enable/disable hint under the 'Editor - Inlay Hints'.</p>
<p><a href=""https://i.sstatic.net/ZEkFh.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/ZEkFh.png"" alt=""enter image description here"" /></a></p>
"
988,43050742,https://stackoverflow.com/questions/43050742,Read .m4a Tags on ,"<p>I recently started building an audio tag editor, but now I find a problem that I can't manage to pass through.
My problem is that I don't know how to read tags in .m4a s.</p>
<p>I used this code to read it on mp3 s using a public external library called &quot;Jaudiotagger&quot;, and it worked fine.</p>
<pre><code>   try {
         = new (TrackPath);
       Audio f = AudioIO.read();
       Tag tag = f.getTag();

       audioAlbum.setText(tag.getFirst(FieldKey.ALBUM));
       audioArtist.setText(tag.getFirst(FieldKey.ARTIST));
    }catch( e) {
       e.printStackTrace();
    };
</code></pre>
<p>But when I tried with an .m4a  just returns blank s, even using Mp4Tag and Mp4FieldKey instead of Tag and FieldKey.</p>
<p>Does anyone know any other external library which reads these type of audio s or just any workaround for this?</p>
<p>And I don't want to use  MediaStore because I want the tags to be merged into the , so I can move the  to another device and keep them.</p>
<p>Thanks in advance.</p>
","<p>Jaudiotagger processes mp4 and m4a <strong>exactly the same way</strong></p>

<p>You are using the library to read metadata from the  but it seems to me that you are assuming the  already has artist and album metadata in the , but probably your second  just doesnt have any metadata in it.</p>
",['android'],"Read .m4a Tags on  <p>I recently started building an audio tag editor, but now I find a problem that I can't manage to pass through.
My problem is that I don't know how to read tags in .m4a s.</p>
<p>I used this code to read it on mp3 s using a public external library called &quot;Jaudiotagger&quot;, and it worked fine.</p>
<pre><code>   try {
         = new (TrackPath);
       Audio f = AudioIO.read();
       Tag tag = f.getTag();

       audioAlbum.setText(tag.getFirst(FieldKey.ALBUM));
       audioArtist.setText(tag.getFirst(FieldKey.ARTIST));
    }catch( e) {
       e.printStackTrace();
    };
</code></pre>
<p>But when I tried with an .m4a  just returns blank s, even using Mp4Tag and Mp4FieldKey instead of Tag and FieldKey.</p>
<p>Does anyone know any other external library which reads these type of audio s or just any workaround for this?</p>
<p>And I don't want to use  MediaStore because I want the tags to be merged into the , so I can move the  to another device and keep them.</p>
<p>Thanks in advance.</p>
 <p>Jaudiotagger processes mp4 and m4a <strong>exactly the same way</strong></p>

<p>You are using the library to read metadata from the  but it seems to me that you are assuming the  already has artist and album metadata in the , but probably your second  just doesnt have any metadata in it.</p>
"
522,72376199,https://stackoverflow.com/questions/72376199,Round method for &lt;fmt:formatNumber maxFractionDigits&gt;,"<p>How does rounding works with this tag? Only docs I could find is this:</p>
<blockquote>
<p>Attributes are also provided to allow you to determine how many decimal places should be used. The minFractionalDigits and maxFractionalDigits attributes allow you to specify the number of decimal places. If the number exceeds the maximum number of fractional digits, <strong>the number will be rounded</strong>. --<em>How exactly??</em></p>
</blockquote>
<p>Is there something like default round method that I can change in this tag? Something like</p>
<pre><code>RoundingMode.HALF_EVEN (*default*) --&gt; RoundingMode.HALF_UP
</code></pre>
<p>Thanks</p>
", ,['jsp'],"Round method for &lt;fmt:formatNumber maxFractionDigits&gt; <p>How does rounding works with this tag? Only docs I could find is this:</p>
<blockquote>
<p>Attributes are also provided to allow you to determine how many decimal places should be used. The minFractionalDigits and maxFractionalDigits attributes allow you to specify the number of decimal places. If the number exceeds the maximum number of fractional digits, <strong>the number will be rounded</strong>. --<em>How exactly??</em></p>
</blockquote>
<p>Is there something like default round method that I can change in this tag? Something like</p>
<pre><code>RoundingMode.HALF_EVEN (*default*) --&gt; RoundingMode.HALF_UP
</code></pre>
<p>Thanks</p>
  "
482,71541441,https://stackoverflow.com/questions/71541441,JAVA DOM: Delete parent tag if child tag has specified value,"<p>I'm doing a simple Java DOM app for car renting. I have a <code>&lt;car&gt;</code> tag that contains <code>&lt;id&gt;</code> tag, I'm trying to make a method that deletes the <code>&lt;car&gt;</code> tag by specifying the value of the <code>&lt;id&gt;</code> tag. I've tried thinking of a solution and looked at similar questions but haven't figured it out. Here's structure of my  document:</p>
<pre><code>&lt;parking&gt;
&lt;car&gt;
    &lt;id&gt;1&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;2&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;3&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;4&lt;/id&gt;
&lt;/car&gt;&lt;/parking&gt;
</code></pre>
", ,"['xml', 'methods']","JAVA DOM: Delete parent tag if child tag has specified value <p>I'm doing a simple Java DOM app for car renting. I have a <code>&lt;car&gt;</code> tag that contains <code>&lt;id&gt;</code> tag, I'm trying to make a method that deletes the <code>&lt;car&gt;</code> tag by specifying the value of the <code>&lt;id&gt;</code> tag. I've tried thinking of a solution and looked at similar questions but haven't figured it out. Here's structure of my  document:</p>
<pre><code>&lt;parking&gt;
&lt;car&gt;
    &lt;id&gt;1&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;2&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;3&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;4&lt;/id&gt;
&lt;/car&gt;&lt;/parking&gt;
</code></pre>
  "
445,76943856,https://stackoverflow.com/questions/76943856,Java - execution order between  tags and Cucumber hook tags - which ones go first?,"<p>is there any conjunction between  tags and Cucumber hook tags execution order ?
I have a project with Cucumber feature , step definition  and page object model.
In feature  I want use tag <code>@pageOne</code> and <code>@pageTwo</code></p>
<p>then in Cucumber hook  I have:</p>
<pre><code>public static List&lt;&gt; list;

@Before(@pageOne) 
public void beforeOne (Scenario scenario) {
list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
}

 @Before(@pageTwo) 
    public void beforeOne (Scenario scenario) {
    list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
    }
</code></pre>
<p>Then in other  I have @Before  annotation.</p>
<pre><code>@Before
public void setUpProperties() {
Properties properties = new Properties();
properties.load(new InputStream(appConfigPath));

if (list.contains(@pageOne)) {
 url = properties.getProperty(&quot;pageOne&quot;);
}

if (list.contains(@pageTwo)) {
 url = properties.getProperty(&quot;pageTwo&quot;);
}
</code></pre>
<p>So I have to run @Before cucumber tag earlier than  @before tag because I have to pass ivalue from cucumber before method to  before method.</p>
<p>Is this possible to set annotation tags order ? I want to run cuumber tag earlier than  tag.</p>
<p>Thank you</p>
", ,['junit'],"Java - execution order between  tags and Cucumber hook tags - which ones go first? <p>is there any conjunction between  tags and Cucumber hook tags execution order ?
I have a project with Cucumber feature , step definition  and page object model.
In feature  I want use tag <code>@pageOne</code> and <code>@pageTwo</code></p>
<p>then in Cucumber hook  I have:</p>
<pre><code>public static List&lt;&gt; list;

@Before(@pageOne) 
public void beforeOne (Scenario scenario) {
list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
}

 @Before(@pageTwo) 
    public void beforeOne (Scenario scenario) {
    list = scenario.getSourceTagsNames().stream().collect(Collectors.toList());
    }
</code></pre>
<p>Then in other  I have @Before  annotation.</p>
<pre><code>@Before
public void setUpProperties() {
Properties properties = new Properties();
properties.load(new InputStream(appConfigPath));

if (list.contains(@pageOne)) {
 url = properties.getProperty(&quot;pageOne&quot;);
}

if (list.contains(@pageTwo)) {
 url = properties.getProperty(&quot;pageTwo&quot;);
}
</code></pre>
<p>So I have to run @Before cucumber tag earlier than  @before tag because I have to pass ivalue from cucumber before method to  before method.</p>
<p>Is this possible to set annotation tags order ? I want to run cuumber tag earlier than  tag.</p>
<p>Thank you</p>
  "
604,73376927,https://stackoverflow.com/questions/73376927,Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in  page,"<p>Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in  page. Any help would be appreciated.</p>
<pre><code>&lt;nested:iterate property=&quot;studentList&quot;&gt;
  &lt;tr&gt;
    &lt;td&gt;
      &lt;nested:select property=&quot;name&quot;&gt;
        &lt;:options collection=&quot;college&quot; property=&quot;test1&quot; /&gt;
      &lt;/nested:select&gt;
    &lt;/td&gt;
  &lt;/tr&gt;
&lt;/nested:iterate&gt;
</code></pre>
", ,['jsp'],"Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in  page <p>Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in  page. Any help would be appreciated.</p>
<pre><code>&lt;nested:iterate property=&quot;studentList&quot;&gt;
  &lt;tr&gt;
    &lt;td&gt;
      &lt;nested:select property=&quot;name&quot;&gt;
        &lt;:options collection=&quot;college&quot; property=&quot;test1&quot; /&gt;
      &lt;/nested:select&gt;
    &lt;/td&gt;
  &lt;/tr&gt;
&lt;/nested:iterate&gt;
</code></pre>
  "
716,8400301,https://stackoverflow.com/questions/8400301,&lt;c:out/&gt; unknown tag,"<p>Why I get error tip message in  on left when I include the following line.</p>

<pre><code>&lt;c:out value=${variable}/&gt;
</code></pre>

<p>I get the error ""Unknown tag(c:out)""</p>

<p>I also included on top</p>

<pre><code>&lt;%@ page isELIgnored =""false"" %&gt; 
</code></pre>

<p>Is there a jstl I need to include?</p>
","<p>If ur using  dependency see wether the jstl 1.2 dependency is added properly then.
<code>&lt;%@taglib uri=&quot;http://java.sun.com//jstl/core&quot; prefix=&quot;c&quot; %&gt;</code>   use this tag in ur  page.
And also if its geving url error then just rewrite the url and save it.
And also change the version of java to 8 and change the  boot version to 2.7.17</p>
","['eclipse', 'jsp']","&lt;c:out/&gt; unknown tag <p>Why I get error tip message in  on left when I include the following line.</p>

<pre><code>&lt;c:out value=${variable}/&gt;
</code></pre>

<p>I get the error ""Unknown tag(c:out)""</p>

<p>I also included on top</p>

<pre><code>&lt;%@ page isELIgnored =""false"" %&gt; 
</code></pre>

<p>Is there a jstl I need to include?</p>
 <p>If ur using  dependency see wether the jstl 1.2 dependency is added properly then.
<code>&lt;%@taglib uri=&quot;http://java.sun.com//jstl/core&quot; prefix=&quot;c&quot; %&gt;</code>   use this tag in ur  page.
And also if its geving url error then just rewrite the url and save it.
And also change the version of java to 8 and change the  boot version to 2.7.17</p>
"
525,78312772,https://stackoverflow.com/questions/78312772,&quot;Multiple root tags&quot; and &quot;Top level element is not completed&quot; error in Manifest.. What am i doing wrong?,"<pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
&lt;manifest ns:=&quot;http://schemas..com/apk/res/&quot;
    ns:tools=&quot;http://schemas..com/tools&quot;
    package=&quot;com.example.transkript&quot;&gt;

    &lt;uses-permission :name=&quot;.permission.RECORD_AUDIO&quot; /&gt;
    &lt;uses-permission :name=&quot;.permission.INTERNET&quot; /&gt;
    &lt;uses-permission :name=&quot;.permission.WRITE_EXTERNAL_STORAGE&quot; /&gt;

    &lt;application
        :allowBackup=&quot;true&quot;
        :icon=&quot;@mipmap/ic_launcher&quot;
        :label=&quot;@/app_name&quot;
        :roundIcon=&quot;@mipmap/ic_launcher_round&quot;
        :supportsRtl=&quot;true&quot;
        :theme=&quot;@style/Theme.Transkript&quot;
        tools:targetApi=&quot;31&quot;&gt;

        &lt;activity
            :name=&quot;.MainActivity&quot;
            :exported=&quot;true&quot;&gt;
            &lt;intent-filter&gt;
                &lt;action :name=&quot;.intent.action.MAIN&quot; /&gt;

                &lt;category :name=&quot;.intent.category.LAUNCHER&quot; /&gt;
            &lt;/intent-filter&gt;
        &lt;/activity&gt;



    &lt;/application&gt;

&lt;/manifest&gt;
</code></pre>
<p>I'm very new and i'm not sure what's wrong. I have been reading and been seeing that I should only have one root tag, but examples online show that what i have should be correct? Could it be related to my MainActivity ? The  above is from Manifest.</p>
<p>My app is based around recording an audio , with a button that starts recording and when pressing it again it ends recording. It compiles and runs but then when pressing the button it crashes and the errors i get in  studio are:</p>
<p>Multiple root tags at line 22</p>
<p>Tag start is not closed at line 22</p>
<p>Multiple root tags at line 23</p>
<p>Top level element is not completed at line 24</p>
<p>Wrong closing tag name at line 26</p>
<p>Wrong closing tag name at line 27</p>
<p>Wrong closing tag name at line 31</p>
<p>Top level element is not completed at line 32</p>
<p>Thanks!</p>
<pre><code>package com.example.transkript;

import .media.MediaRecorder;
import .os.Bundle;
import .os.Environment;
import .util.Log;
import java.io.;
import .view.View;
import .widget.Button;

import x.appcompat.app.AppCompatActivity;

import java.io.IO;

public  MainActivity extends AppCompatActivity {

private Button recordButton;
private MediaRecorder recorder;
private boolean isRecording = false;

@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);

    recordButton = findViewById(R.id.recordButton);
    recordButton.setOnClickListener(new View.OnClickListener() {
        @Override
        public void onClick(View v) {
            if (isRecording) {
                stopRecording();
            } else {
                startRecording();
            }
        }
    });
}

private void startRecording() {
    // Create a new MediaRecorder instance
    recorder = new MediaRecorder();

    // Set the audio source to the microphone
    recorder.setAudioSource(MediaRecorder.AudioSource.MIC);

    // Set the output format to 3GPP (media recorder will choose the appropriate audio codec)
    recorder.setOutputFormat(MediaRecorder.OutputFormat.THREE_GPP);

    // Set the output  path
    recorder.setOutput(getPath());

    // Set the audio encoder to AMR NB for efficiency
    recorder.setAudioEncoder(MediaRecorder.AudioEncoder.AMR_NB);

    try {
        // Prepare the recorder
        recorder.prepare();

        // Start recording
        recorder.start();

        // Update the UI to reflect the recording state
        isRecording = true;
        recordButton.setText(&quot;Stop Recording&quot;);
    } catch (IO e) {
        // Handle s
        e.printStackTrace();
    }
}

private void stopRecording() {
    if (recorder != null) {
        // Stop the recording
        recorder.stop();

        // Release the MediaRecorder object
        recorder.release();
        recorder = null;

        // Update the UI to reflect the recording state
        isRecording = false;
        recordButton.setText(&quot;Record&quot;);
    }
}

private  getPath() {
    // Get the external storage directory
     externalStorageDir = Environment.getExternalStorageDirectory();

    // Check if the external storage is available and writable
    if (externalStorageDir == null || !externalStorageDir.canWrite()) {
        Log.e(&quot;MainActivity&quot;, &quot;External storage is not available or writable.&quot;);
        return null;
    }

    // Create a new directory for your app's s
     appDirectory = new (externalStorageDir, &quot;MyAppAudios&quot;);
    if (!appDirectory.exists()) {
        if (!appDirectory.mkdirs()) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create directory for audio s.&quot;);
            return null;
        }
    }

    // Create a new  in the app's directory
     audio = new (appDirectory, &quot;myrecording.3gp&quot;);

    // Check if the  can be created
    if (!audio.exists()) {
        try {
            if (!audio.createNew()) {
                Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio .&quot;);
                return null;
            }
        } catch (IO e) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio .&quot;, e);
            return null;
        }
    }

    // Return the absolute path of the 
    return audio.getAbsolutePath();
}

@Override
protected void onDestroy() {
    super.onDestroy();
    if (recorder != null) {
        recorder.release();
        recorder = null;
    }
}
}
</code></pre>
<p><a href=""https://i.sstatic.net/TDKRv.png"" rel=""nofollow noreferrer"">Here is the logcat</a></p>
","<p>The  declaration (not a &quot;tag&quot;),</p>
<pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
</code></pre>
<p>is perfectly fine.</p>
<p>The  of the  document is also fine.  It is well-formed and not the source of either the &quot;Multiple root tags&quot; or the &quot;Top level element is not completed&quot; errors.</p>
<p>Check that you've posted the actual  that's causing the error, and check that you've not pruned away the source of the error in the inte of creating a minimal example.</p>
<h2>See also</h2>
<p>For the posted error messages, see</p>
<ul>
<li><a href=""https://stackoverflow.com/q/46355454/290085"">How to fix error: The markup in the document following the root element must be well-formed</a></li>
</ul>
<p>...but your posted  is well-formed.</p>
","['android', 'xml']","&quot;Multiple root tags&quot; and &quot;Top level element is not completed&quot; error in Manifest.. What am i doing wrong? <pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
&lt;manifest ns:=&quot;http://schemas..com/apk/res/&quot;
    ns:tools=&quot;http://schemas..com/tools&quot;
    package=&quot;com.example.transkript&quot;&gt;

    &lt;uses-permission :name=&quot;.permission.RECORD_AUDIO&quot; /&gt;
    &lt;uses-permission :name=&quot;.permission.INTERNET&quot; /&gt;
    &lt;uses-permission :name=&quot;.permission.WRITE_EXTERNAL_STORAGE&quot; /&gt;

    &lt;application
        :allowBackup=&quot;true&quot;
        :icon=&quot;@mipmap/ic_launcher&quot;
        :label=&quot;@/app_name&quot;
        :roundIcon=&quot;@mipmap/ic_launcher_round&quot;
        :supportsRtl=&quot;true&quot;
        :theme=&quot;@style/Theme.Transkript&quot;
        tools:targetApi=&quot;31&quot;&gt;

        &lt;activity
            :name=&quot;.MainActivity&quot;
            :exported=&quot;true&quot;&gt;
            &lt;intent-filter&gt;
                &lt;action :name=&quot;.intent.action.MAIN&quot; /&gt;

                &lt;category :name=&quot;.intent.category.LAUNCHER&quot; /&gt;
            &lt;/intent-filter&gt;
        &lt;/activity&gt;



    &lt;/application&gt;

&lt;/manifest&gt;
</code></pre>
<p>I'm very new and i'm not sure what's wrong. I have been reading and been seeing that I should only have one root tag, but examples online show that what i have should be correct? Could it be related to my MainActivity ? The  above is from Manifest.</p>
<p>My app is based around recording an audio , with a button that starts recording and when pressing it again it ends recording. It compiles and runs but then when pressing the button it crashes and the errors i get in  studio are:</p>
<p>Multiple root tags at line 22</p>
<p>Tag start is not closed at line 22</p>
<p>Multiple root tags at line 23</p>
<p>Top level element is not completed at line 24</p>
<p>Wrong closing tag name at line 26</p>
<p>Wrong closing tag name at line 27</p>
<p>Wrong closing tag name at line 31</p>
<p>Top level element is not completed at line 32</p>
<p>Thanks!</p>
<pre><code>package com.example.transkript;

import .media.MediaRecorder;
import .os.Bundle;
import .os.Environment;
import .util.Log;
import java.io.;
import .view.View;
import .widget.Button;

import x.appcompat.app.AppCompatActivity;

import java.io.IO;

public  MainActivity extends AppCompatActivity {

private Button recordButton;
private MediaRecorder recorder;
private boolean isRecording = false;

@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);

    recordButton = findViewById(R.id.recordButton);
    recordButton.setOnClickListener(new View.OnClickListener() {
        @Override
        public void onClick(View v) {
            if (isRecording) {
                stopRecording();
            } else {
                startRecording();
            }
        }
    });
}

private void startRecording() {
    // Create a new MediaRecorder instance
    recorder = new MediaRecorder();

    // Set the audio source to the microphone
    recorder.setAudioSource(MediaRecorder.AudioSource.MIC);

    // Set the output format to 3GPP (media recorder will choose the appropriate audio codec)
    recorder.setOutputFormat(MediaRecorder.OutputFormat.THREE_GPP);

    // Set the output  path
    recorder.setOutput(getPath());

    // Set the audio encoder to AMR NB for efficiency
    recorder.setAudioEncoder(MediaRecorder.AudioEncoder.AMR_NB);

    try {
        // Prepare the recorder
        recorder.prepare();

        // Start recording
        recorder.start();

        // Update the UI to reflect the recording state
        isRecording = true;
        recordButton.setText(&quot;Stop Recording&quot;);
    } catch (IO e) {
        // Handle s
        e.printStackTrace();
    }
}

private void stopRecording() {
    if (recorder != null) {
        // Stop the recording
        recorder.stop();

        // Release the MediaRecorder object
        recorder.release();
        recorder = null;

        // Update the UI to reflect the recording state
        isRecording = false;
        recordButton.setText(&quot;Record&quot;);
    }
}

private  getPath() {
    // Get the external storage directory
     externalStorageDir = Environment.getExternalStorageDirectory();

    // Check if the external storage is available and writable
    if (externalStorageDir == null || !externalStorageDir.canWrite()) {
        Log.e(&quot;MainActivity&quot;, &quot;External storage is not available or writable.&quot;);
        return null;
    }

    // Create a new directory for your app's s
     appDirectory = new (externalStorageDir, &quot;MyAppAudios&quot;);
    if (!appDirectory.exists()) {
        if (!appDirectory.mkdirs()) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create directory for audio s.&quot;);
            return null;
        }
    }

    // Create a new  in the app's directory
     audio = new (appDirectory, &quot;myrecording.3gp&quot;);

    // Check if the  can be created
    if (!audio.exists()) {
        try {
            if (!audio.createNew()) {
                Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio .&quot;);
                return null;
            }
        } catch (IO e) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio .&quot;, e);
            return null;
        }
    }

    // Return the absolute path of the 
    return audio.getAbsolutePath();
}

@Override
protected void onDestroy() {
    super.onDestroy();
    if (recorder != null) {
        recorder.release();
        recorder = null;
    }
}
}
</code></pre>
<p><a href=""https://i.sstatic.net/TDKRv.png"" rel=""nofollow noreferrer"">Here is the logcat</a></p>
 <p>The  declaration (not a &quot;tag&quot;),</p>
<pre><code>&lt;? version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
</code></pre>
<p>is perfectly fine.</p>
<p>The  of the  document is also fine.  It is well-formed and not the source of either the &quot;Multiple root tags&quot; or the &quot;Top level element is not completed&quot; errors.</p>
<p>Check that you've posted the actual  that's causing the error, and check that you've not pruned away the source of the error in the inte of creating a minimal example.</p>
<h2>See also</h2>
<p>For the posted error messages, see</p>
<ul>
<li><a href=""https://stackoverflow.com/q/46355454/290085"">How to fix error: The markup in the document following the root element must be well-formed</a></li>
</ul>
<p>...but your posted  is well-formed.</p>
"
544,653085,https://stackoverflow.com/questions/653085,Purpose of tag library?,"<p>What is the purpose of having tag library? Though we have the basic tags available which makes our work very simple, what is the reason to have a struts-.tld. Though we can call and use the bean easily through usebean, setProperty and getProperty tags why we have struts-bean.tld.</p>
","<p>While you can do basic things like accessing bean property and using it to construct your , often you require to do much more in your  pages. Struts provide a lot of well defined tags that you can use directly to construct your  elements, such as your inputs fields or tables etc. And this means, you won't be dealing with  elements but struts tags. Apart from providing basic  elements, there are tag library that help you create more complex  pages. For an e.g, with a particular tag library, you can construct neat paginated table just by providing an iterator and mapping column headers.</p>
",['jsp'],"Purpose of tag library? <p>What is the purpose of having tag library? Though we have the basic tags available which makes our work very simple, what is the reason to have a struts-.tld. Though we can call and use the bean easily through usebean, setProperty and getProperty tags why we have struts-bean.tld.</p>
 <p>While you can do basic things like accessing bean property and using it to construct your , often you require to do much more in your  pages. Struts provide a lot of well defined tags that you can use directly to construct your  elements, such as your inputs fields or tables etc. And this means, you won't be dealing with  elements but struts tags. Apart from providing basic  elements, there are tag library that help you create more complex  pages. For an e.g, with a particular tag library, you can construct neat paginated table just by providing an iterator and mapping column headers.</p>
"
757,43050742,https://stackoverflow.com/questions/43050742,Read .m4a Tags on ,"<p>I recently started building an audio tag editor, but now I find a problem that I can't manage to pass through.
My problem is that I don't know how to read tags in .m4a s.</p>
<p>I used this code to read it on mp3 s using a public external library called &quot;Jaudiotagger&quot;, and it worked fine.</p>
<pre><code>   try {
         = new (TrackPath);
       Audio f = AudioIO.read();
       Tag tag = f.getTag();

       audioAlbum.setText(tag.getFirst(FieldKey.ALBUM));
       audioArtist.setText(tag.getFirst(FieldKey.ARTIST));
    }catch( e) {
       e.printStackTrace();
    };
</code></pre>
<p>But when I tried with an .m4a  just returns blank s, even using Mp4Tag and Mp4FieldKey instead of Tag and FieldKey.</p>
<p>Does anyone know any other external library which reads these type of audio s or just any workaround for this?</p>
<p>And I don't want to use  MediaStore because I want the tags to be merged into the , so I can move the  to another device and keep them.</p>
<p>Thanks in advance.</p>
","<p>Jaudiotagger processes mp4 and m4a <strong>exactly the same way</strong></p>

<p>You are using the library to read metadata from the  but it seems to me that you are assuming the  already has artist and album metadata in the , but probably your second  just doesnt have any metadata in it.</p>
",['android'],"Read .m4a Tags on  <p>I recently started building an audio tag editor, but now I find a problem that I can't manage to pass through.
My problem is that I don't know how to read tags in .m4a s.</p>
<p>I used this code to read it on mp3 s using a public external library called &quot;Jaudiotagger&quot;, and it worked fine.</p>
<pre><code>   try {
         = new (TrackPath);
       Audio f = AudioIO.read();
       Tag tag = f.getTag();

       audioAlbum.setText(tag.getFirst(FieldKey.ALBUM));
       audioArtist.setText(tag.getFirst(FieldKey.ARTIST));
    }catch( e) {
       e.printStackTrace();
    };
</code></pre>
<p>But when I tried with an .m4a  just returns blank s, even using Mp4Tag and Mp4FieldKey instead of Tag and FieldKey.</p>
<p>Does anyone know any other external library which reads these type of audio s or just any workaround for this?</p>
<p>And I don't want to use  MediaStore because I want the tags to be merged into the , so I can move the  to another device and keep them.</p>
<p>Thanks in advance.</p>
 <p>Jaudiotagger processes mp4 and m4a <strong>exactly the same way</strong></p>

<p>You are using the library to read metadata from the  but it seems to me that you are assuming the  already has artist and album metadata in the , but probably your second  just doesnt have any metadata in it.</p>
"
